timestamp,Fire_rune,Water_rune,Air_rune,Earth_rune,Mind_rune,Body_rune,Death_rune,Nature_rune,Chaos_rune,Law_rune,Cosmic_rune,Blood_rune,Soul_rune
1577404800000,5,4,5,4,3,5,213,224,66,146,117,310,146
1577491200000,5,5,5,4,3,5,213,225,64,145,121,312,147
1577577600000,5,5,5,5,3,4,214,224,61,139,119,313,147
1577664000000,5,5,5,4,3,5,209,225,59,133,115,311,147
1577750400000,5,5,5,5,4,5,208,226,59,131,116,313,147
1577836800000,5,5,5,5,4,5,208,232,61,133,120,316,147
1577923200000,5,5,5,4,4,5,213,242,62,137,123,322,147
1578009600000,5,5,5,5,4,5,216,250,63,142,129,322,146
1578096000000,5,5,5,5,4,5,216,258,64,150,134,318,145
1578182400000,5,5,5,4,3,5,217,264,63,157,139,318,144
1578268800000,5,5,5,5,3,5,218,269,63,159,141,318,143
1578355200000,5,5,5,4,3,4,217,266,63,158,138,316,145
1578441600000,5,5,5,5,4,4,217,262,64,159,138,316,145
1578528000000,5,5,5,5,4,4,216,260,64,160,142,316,146
1578614400000,5,5,5,5,4,4,215,258,63,160,146,318,146
1578700800000,5,5,5,5,4,4,213,255,63,158,145,321,145
1578787200000,5,5,5,5,4,5,210,252,63,153,144,321,144
1578873600000,5,5,5,5,4,5,210,252,63,150,146,322,144
1578960000000,5,5,5,4,4,5,210,252,63,148,149,321,144
1579046400000,5,5,5,4,4,4,210,253,63,148,154,321,145
1579132800000,5,5,5,4,4,4,211,254,64,152,157,323,147
1579219200000,5,5,5,5,4,5,212,254,63,160,161,323,148
1579305600000,5,5,5,5,4,5,213,253,63,158,164,325,148
1579392000000,5,5,5,4,4,5,214,254,63,157,167,329,147
1579478400000,5,5,5,4,3,4,215,257,62,153,172,327,143
1579564800000,5,5,5,4,3,5,216,263,64,152,177,331,142
1579651200000,5,5,5,5,4,5,216,262,64,152,184,334,145
1579737600000,5,5,5,4,4,5,217,264,64,153,185,337,146
1579824000000,5,5,5,4,3,5,216,263,65,155,186,339,146
1579910400000,5,5,5,5,3,4,217,261,65,156,186,342,146
1579996800000,5,5,5,5,4,5,218,260,65,157,186,345,146
1580083200000,5,5,5,4,3,5,219,258,65,159,181,347,146
